subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Peter von Bohlen	position_at	University of Königsberg	außerordentlicher Professor	1826	1828	True	Windisch GSP	wurde er doch schon 1826 außerordentlicher und 1828 ordentlicher Professor in Königsberg
Pierre Sonnerat	position_at	Académie des Sciences	Correspondent			True	Windisch GSP	der französische Naturforscher Pierre Sonnerat, geboren 1749, gestorben 1814, Correspondent de l'Académie des Sciences.
Premachandra Tarkabagisha	position_at	Sanskrit College	Professor der Rhetorik	1863		True	Windisch GSP	Premachandra Tarkabāgīśa, Professor der Rhetorik am Sanskrit College zu Calcutta
Raghumaṇi Bhaṭṭācārya	position_at	Fort William College	Leitung der Pandits	1800	1809	True	Windisch GSP	Den Inhalt der Koṣas hatten im Jahre 1800 Pandits unter Leitung des Raghumaṇi Bhaṭṭācārya für das College of Fort William in Calcutta zu einem Wörterbuche zu verarbeiten begonnen, das 1809 fertig wurde.
Rajaram Shastri	position_at	Benares College	Professor			True	Windisch GSP	den beiden Professoren des Benares-College Rājārāmaśāstrin und Bālaśāstrin.
Ralph T. H. Griffith	position_at	Benares College	Principal			True	Windisch GSP	Griffith war Ballantynes Nachfolger als Principal of the Benares College
Reinhold Rost	position_at	India Office Library	Oberbibliothekar	1869		True	Windisch GSP	Denn 1869 erhielt er seine Ernennung zum Oberbibliothekar der India Office Library.
Reinhold Rost	position_at	Royal Asiatic Society	Sekretär	1863		True	Windisch GSP	Im Jahre 1863 wurde er zum Sekretär der Royal Asiatic Society gewählt
Reinhold Rost	position_at	St Augustine's Missionary College	Lehrer der orientalischen Sprachen	1853		True	Windisch GSP	Seine Anstellung als Lehrer der orientalischen Sprachen 1853 an der Missionsanstalt St. Augustin zu Canterbury, die er bis ans Ende seines Lebens beibehielt
Richard Fritzsche	position_at	Schneeberg Gymnasium	Rektor			True	Windisch GSP	Richard Fritzsche, geboren 1851, Rektor des Gymnasiums in Schneeberg
Richard Pischel	position_at	Prussian Academy of Sciences				True	Windisch GSP	Pischel wurde Webers Nachfolger an der Universität und in der Akademie zu Berlin.
Richard Pischel	position_at	University of Berlin				True	Windisch GSP	Pischel wurde Webers Nachfolger an der Universität und in der Akademie zu Berlin.
Richard Pischel	position_at	University of Halle	Rektor	1900		True	Windisch GSP; Winternitz GIL 3	zunächst seine Hallesche Rektorrede "Die Heimat des Puppenspiels", Halle 1900.
Robert Chambers	position_at	Supreme Court of Judicature at Fort William	Chief Justice			True	Windisch GSP	Sir Robert Chambers, Chief Justice des Supreme Court at Fort William
Robert Lenz	position_at	University of Saint Petersburg	Professor des Sanskrit		1836	True	Windisch GSP	gestorben 1836, als Professor des Sanskrit in St. Petersburg.
Robert Needham Cust	position_at	Bengal Civil Service				True	Windisch GSP	R. N. Cust, of the Bengal Civil Service
Rudolf Thomas Siegfried	position_at	University of Dublin	Professor des Sanskrit			True	Windisch GSP	Siegfried (Professor des Sanskrit in Dublin)
Rudolf von Roth	position_at	University of Tübingen	Professor; akademischer Lehrer		1895	True	Windisch GSP	Rudolf Roth, geboren 1821 in Stuttgart, gestorben 1895 als Professor in Tübingen
Rāma Govinda	position_at	Asiatic Society of Bengal	the Society's pandit			True	Windisch GSP	Text und Übersetzung hat Ráma Govinda, "the Society's pandit" hergestellt.
Salomon Lefmann	position_at	University of Heidelberg	Extraordinariat für Sanskrit			True	Windisch GSP	Daneben hatte S. Lefmann ein Extraordinariat für Sanskrit.
Stanislao Gatti	position_at	University of Naples				True	Windisch GSP	Dort war schon vor ihm der Neapolitaner Stanislas Gatti, Übersetzer des Nala und der Bhagavadgītā, tätig gewesen.
Theodor Aufrecht	position_at	University of Berlin	Privatdozent	1850		True	Windisch GSP	als Privatdozent daselbst (1850) las er über Altnordisch, Altsächsisch und Angelsächsisch
Theodor Aufrecht	position_at	University of Bonn	Professor	1875	1889	True	Windisch GSP	ging aber 1875 als Lassens Nachfolger nach Bonn. Nachdem er sich 1889 hatte pensionieren lassen
Theodor Aufrecht	position_at	University of Edinburgh	Professor des Sanskrit	1862		True	Windisch GSP	Im Jahre 1862 wurde er Professor des Sanskrit in Edinburgh
Theodor Benfey	position_at	University of Göttingen	Lehrmeister; Ordinarius; Professor; habilitiert für occidentalische Philologie	1834	1881	True	Windisch GSP	Er erhielt für sein griechisches Wurzelwörterbuch den Prix Volney und glaubte dieser Auszeichnung seine Professur in Göttingen zu verdanken
Theodor Goldstücker	position_at	University College London	Professor des Sanskrit		1872	True	Windisch GSP	wo er 1872 gestorben ist, als Professor des Sanskrit an der London University
Thomas Hyde	position_at	University of Oxford	Orientalist			False	Windisch GSP	der 1694 veröffentlichten Historia Shahiludii des Oxforder Orientalisten Thomas Hyde
Théodore Pavie	position_at	Collège de France	Professur des Sanskrit	1852	1857	True	Windisch GSP	Im Jahre 1852 war er Burnoufs Nachfolger am Collège de France geworden, gab aber diese Professur des Sanskrit 1857 auf
Walter Elliot	position_at	Government of Madras	Private Secretary zu Lord Elphinstone	1837	1842	True	Windisch GSP	Er wurde Private Secretary zu Lord Elphinstone in Madras 1837–42, später Member of Council, Madras.
Warren Hastings	position_at	Government of Bengal	Generalgouverneur von Bengalen	1773		True	Winternitz GIL 1	Und als Warren Hastings im Jahre 1773 zum Generalgouverneur von Bengalen ernannt und mit den höchsten Gewalten über sämtliche englische Besitzungen in Indien betraut worden war
Wilhelm Grube	position_at	University of Berlin	a. o. Prof.			True	Winternitz GIL 1	Dr. Wilh. Grube, a. o. Prof. a. d. Universität in Berlin.
Wilhelm Schulze	position_at	University of Berlin	Professor			False	Windisch GSP	Wilhelm Schulze, der Nachfolger Joh. Schmidts in der Berliner Professur
Wilhelm von Humboldt	position_at	Kingdom of Prussia	Minister			True	Windisch GSP	Die Sanskritstudien hatten in Preußen in dem Minister Wilhelm v. Humboldt einen einflußreichen Gönner und Freund.
William Carey	position_at	Fort William College	teacher of the Sangskreet, Bengalee and Mahratta Languages			True	Windisch GSP	teacher of the Sangskreet, Bengalee and Mahratta Languages in the College of Fort William
William Dwight Whitney	position_at	Yale University	Professor des Sanskrit		1894	True	Windisch GSP	ist gestorben 1894 als Professor des Sanskrit am Yale College (jetzt University)
William Henry Wathen	position_at	Government of Bombay	Persian Secretary			True	Windisch GSP	W. H. Wathen, Persian Secretary to the Bombay Government
William Hodge Mill	position_at	Bishop's College, Calcutta	Vorsteher			True	Windisch GSP	Dr. W. H. Mill, vormals Vorsteher des Bishop College in Calcutta
William Jones	position_at	Asiatic Society of Bengal	Mitglied; President	1784	1794	True	Windisch GSP	Asiatick Society in Calcutta, deren President er bis an sein Lebensende war
William Jones	position_at	Supreme Court of Judicature at Fort William	Oberrichter; Puisne Judge	1783		True	Windisch GSP; Winternitz GIL 1	kam 1783 nach Indien als "a Puisne Judge of the Supreme Court at Fort William in Bengal"
William Ward	position_at	Serampore Mission	Missionar			True	Windisch GSP	Ward gehörte zu den Missionaren von Serampore
William Woodville Rockhill	position_at	United States Legation, Peking				True	Windisch GSP	W. W. Rockhill, 'now of the United States Legation in Peking'.
Abel Bergaigne	student_of	Michel Bréal				True	Windisch GSP	An der École des Hautes Études, zu deren Direktoren er gehörte, waren Abel Bergaigne und der Linguist Louis Havet seine Schüler.
Adalbert Bezzenberger	student_of	Theodor Benfey				True	Windisch GSP	A. Bezzenberger hat ihm, seinem Lehrer, in Band VIII seiner "Beiträge zur Kunde der Indogermanischen Sprachen" (1884) S. 234 ff. Worte der Erinnerung gewidmet
Adalbert Kuhn	student_of	Franz Bopp				True	Windisch GSP	Er war im Sanskrit und in der Vergleichenden Sprachwissenschaft ein Schüler Bopps.
Adolf Friedrich Stenzler	student_of	Franz Bopp				True	Windisch GSP	Im Anfang ihrer Studien sind auch Stenzler (geb. 1807) und Böhtlingk (geb. 1815) bei Bopp in Berlin gewesen.
Adolf Holtzmann the Elder	student_of	Eugène Burnouf				True	Windisch GSP	ging von da zu E. Burnouf nach Paris
Adolf Holtzmann the Elder	student_of	Johann Andreas Schmeller				True	Windisch GSP	arbeitete ebenda unter Schmellers Leitung zugleich auf germanistischem Gebiet
Adolf Holtzmann the Elder	student_of	Othmar Frank		1832		True	Windisch GSP	hörte in München Sanskrit bei Othmar Frank
Adolf Kaegi	student_of	Rudolf von Roth		1870	1879	True	Windisch GSP; Winternitz GIL 1	was durch seine Schüler ausgeführt worden ist. Seine Blütezeit als akademischer Lehrer fiel in die 70er Jahre des 19. Jahrhunderts, in denen ... der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Adolphe Regnier	student_of	Eugène Burnouf				True	Windisch GSP	Ein älterer Schüler Burnoufs war der klassische Philolog und Akademiker Adolphe Regnier
Agathon Benary	student_of	Franz Bopp				True	Windisch GSP	Zu den Schülern Bopps gehören ferner Ferdinand Benary, geboren 1805, gestorben 1880, Agathon Benary
Albrecht Weber	student_of	Adalbert Kuhn				True	Windisch GSP	er stattete aber auch A. Kuhn seinen Dank ab, 'viro egregiâ Vedarum cognitione excellenti, qui semper familiari et consuetudine et institutione me docuit'
Albrecht Weber	student_of	Adolf Friedrich Stenzler				True	Windisch GSP	Mehr oder weniger aus-schließlich dürfen als Stenzlers Schüler bezeichnet werden A. Weber, Kielhorn, Eggeling, Pischel, Hillebrandt.
Albrecht Weber	student_of	Christian Lassen				True	Windisch GSP	widmete er Stenzler, Lassen und Gildemeister, 'praeceptoribus carissimis'
Albrecht Weber	student_of	Johannes Gildemeister				True	Windisch GSP	widmete er Stenzler, Lassen und Gildemeister, 'praeceptoribus carissimis'
Alexandre Langlois	student_of	Antoine-Léonard de Chézy				True	Windisch GSP	standen Chézy und sein Schüler Langlois auf der einen Seite
Alfred Hillebrandt	student_of	Adolf Friedrich Stenzler				True	Windisch GSP	Mehr oder weniger aus-schließlich dürfen als Stenzlers Schüler bezeichnet werden A. Weber, Kielhorn, Eggeling, Pischel, Hillebrandt.
Alfred Ludwig	student_of	Albrecht Weber	Sanskrit	1855	1856	True	Windisch GSP	Aber die Hauptanregung zum Studium des Sanskrit erhielt er von Albrecht Weber in Berlin. Am Ende des Schlußworts im 6. Bande seines Rigveda S. XII sagt Ludwig von diesem seinem Lehrer
Alfred Ludwig	student_of	Friedrich Müller				True	Windisch GSP	doch lag er auch weiteren Sprachstudien ob, besonders bei Friedrich Müller.
Angelo De Gubernatis	student_of	Albrecht Weber		1862	1863	True	Windisch GSP	1862 und 1863 de Gubernatis [...] Eine größere Kenntnis des Sanskrit erwarb er sich 1862 bei Weber in Berlin.
Antonio Marazzi	student_of	Giovanni Flechia				True	Windisch GSP	Schüler von ihm waren Antonio Marazzi, Übersetzer der Dramen des Kālidāsa, Domenico Pezzi, Pietro Merlo.
Archibald Edward Gough	student_of	Monier Monier-Williams	Boden Scholar			True	Windisch GSP	Er rühmt A. E. Gough, den Übersetzer der Vaiśeṣikasūtren, der damals Anglo-Sanskrit Professor in the Government College zu Benares war, als einen seiner "most distinguished Boden Scholars".
Armand Guérinot	student_of	Hermann Jacobi				True	Windisch GSP	der Franzose A. Guérinot, Schüler Jacobis
August Fick	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
August Leskien	student_of	August Schleicher				True	Windisch GSP	Hervorragende ältere Schüler von Schleicher waren August Leskien, geboren 1840, und Johannes Schmidt, geboren 1843. ... ehe er sich in Jena an Schleicher anschloß
August Leskien	student_of	Georg Curtius				True	Windisch GSP	Leskien war zuvor in seiner Leipziger Studienzeit schon von Curtius in die Vergleichende Sprachwissenschaft eingeführt worden
August Schleicher	student_of	Friedrich Ritschl	klassische Philologie			True	Windisch GSP	Nach Bonn übergesiedelt studierte er neben allgemeiner Sprachwissenschaft unter Ritschl klassische Philologie.
August Schleicher	student_of	Heinrich Ewald	Sanskrit und orientalische Studien			True	Windisch GSP	Im Sanskrit war Schleicher ein Schüler Ewalds. Er hatte in Leipzig und Tübingen zunächst Theologie studiert, wendete sich aber in Tübingen unter Ewald orientalischen Studien zu.
August Wilhelm von Schlegel	student_of	Antoine-Léonard de Chézy		1814		True	Winternitz GIL 1	Gleichwie sein Bruder hatte auch er in Paris — und zwar im Jahre 1814 — seine Sanskritstudien begonnen. Sein Lehrer war aber ein Franzose, A. L. Chézy
August Wilhelm von Schlegel	student_of	Christian Gottlob Heyne				True	Windisch GSP	nennt in einer Anmerkung zu Ind. Bibl. II 5 den Philologen Heyne seinen verehrten Lehrer
August Wilhelm von Schlegel	student_of	Franz Bopp		1815		True	Windisch GSP	Bopp gab ihm Unterricht im Sanskrit.
Auguste-Louis-Armand Loiseleur-Deslongchamps	student_of	Antoine-Léonard de Chézy				True	Windisch GSP	Chézy nennt Loiseleur in einem Briefe an Bopp vom 18. August 1832 seinen Schüler
Bernhard Hirzel	student_of	Franz Bopp				True	Windisch GSP	Zu den Schülern Bopps gehören ferner [...] der Zürcher Pfarrer Bernhard Hirzel
Berthold Delbrück	student_of	Albrecht Weber		1861	1862	True	Windisch GSP	und in Berlin von Weber, bei dem er Veda hörte.
Berthold Delbrück	student_of	August Friedrich Pott				True	Windisch GSP	In das Sanskrit wurde er eingeführt in Halle von Pott
Bruno Lindner	student_of	Rudolf von Roth		1870	1879	True	Windisch GSP	eine Kombination, die dann wieder Roths Schüler Haug, Geldner und Lindner fortgesetzt haben.
Bunyiu Nanjio	student_of	Friedrich Max Müller		1879		True	Windisch GSP	M. Müller durch seine japanischen Schüler, die buddhistischen Priester Bunyiu Nanjio und Kenjiu Kasawara veranlaßt worden, die 1879 nach Oxford gekommen waren, um Sanskrit zu studieren.
Camillo Kellner	student_of	Hermann Brockhaus				True	Windisch GSP	aber im engeren Sinne gehören noch zu seinen Schülern der Schreiber dieser Zeilen und eine Gruppe von sächsischen Gymnasiallehrern... Hermann Camillo Kellner
Carl Cappeller	student_of	Albrecht Weber		1860	1864	True	Windisch GSP	Er studierte 1860-1864 in Berlin zuerst klassische Philologie, dann Sanskrit bei Bopp und Weber.
Carl Cappeller	student_of	Franz Bopp		1860	1864	True	Windisch GSP	Er studierte 1860-1864 in Berlin zuerst klassische Philologie, dann Sanskrit bei Bopp und Weber.
Carl Gaedicke	student_of	Berthold Delbrück				True	Windisch GSP	Als besonders gehaltvoll rühmt Delbrück (S. VIII) die Arbeit seines Schülers Carl Gaedicke.
Carl Schütz	student_of	Franz Bopp				True	Windisch GSP	Von andern Schülern Bopps war ein guter Kenner auch des schwierigeren Sanskrit der Bielefelder Gymnasiallehrer Carl Schütz
